a0,TPR,FPR,MSE,TP,FP,TN,FN,NumVariablesSelected
-30,0,0,143.672120019415,0,0,976,24,0
-29.7,0,0,143.672120019415,0,0,976,24,0
-29.4,0.0833333333333333,0,50.2753222160551,2,0,976,22,2
-29.1,0.0833333333333333,0,50.2753222160551,2,0,976,22,2
-28.8,0.0833333333333333,0,50.2753222160551,2,0,976,22,2
-28.5,0.0833333333333333,0,50.2753222160551,2,0,976,22,2
-28.2,0.0833333333333333,0,50.2753222160551,2,0,976,22,2
-27.9,0.0833333333333333,0,50.2753222160551,2,0,976,22,2
-27.6,0.0833333333333333,0,50.2753222160551,2,0,976,22,2
-27.3,0.0833333333333333,0,50.2753222160551,2,0,976,22,2
-27,0.0833333333333333,0,50.2753222160551,2,0,976,22,2
-26.7,0.0833333333333333,0,50.2753222160551,2,0,976,22,2
-26.4,0.0833333333333333,0,51.6237425268922,2,0,976,22,2
-26.1,0.0833333333333333,0,51.6237425268922,2,0,976,22,2
-25.8,0.0833333333333333,0,54.2650382390623,2,0,976,22,2
-25.5,0.0833333333333333,0,54.2650382390623,2,0,976,22,2
-25.2,0.0833333333333333,0,54.2650382390623,2,0,976,22,2
-24.9,0.0833333333333333,0,62.1307958516796,2,0,976,22,2
-24.6,0.0833333333333333,0,62.1307958516796,2,0,976,22,2
-24.3,0.0833333333333333,0,62.1307958516796,2,0,976,22,2
-24,0.0833333333333333,0,62.1307958516796,2,0,976,22,2
-23.7,0.0833333333333333,0,62.1307958516796,2,0,976,22,2
-23.4,0.0833333333333333,0,62.1307958516796,2,0,976,22,2
-23.1,0.0833333333333333,0,62.1307958516796,2,0,976,22,2
-22.8,0.0833333333333333,0,62.1307958516796,2,0,976,22,2
-22.5,0.0833333333333333,0,46.0054872257081,2,0,976,22,2
-22.2,0.0833333333333333,0,46.0054872257081,2,0,976,22,2
-21.9,0.0833333333333333,0,46.0054872257081,2,0,976,22,2
-21.6,0.0833333333333333,0,51.9729267196197,2,0,976,22,2
-21.3,0.0833333333333333,0,51.9729267196197,2,0,976,22,2
-21,0.0833333333333333,0,51.9729267196197,2,0,976,22,2
-20.7,0.0833333333333333,0,51.9729267196197,2,0,976,22,2
-20.4,0.0833333333333333,0,51.9729267196197,2,0,976,22,2
-20.1,0.0833333333333333,0,48.6894425943565,2,0,976,22,2
-19.8,0.0833333333333333,0,47.029482300859,2,0,976,22,2
-19.5,0.0833333333333333,0,47.029482300859,2,0,976,22,2
-19.2,0.0833333333333333,0,45.5280589697297,2,0,976,22,2
-18.9,0.0833333333333333,0,45.5280589697296,2,0,976,22,2
-18.6,0.0833333333333333,0,45.5280589697297,2,0,976,22,2
-18.3,0.0833333333333333,0,45.5280589697297,2,0,976,22,2
-18,0.0833333333333333,0,45.5280589697297,2,0,976,22,2
-17.7,0.0833333333333333,0,45.16018376141,2,0,976,22,2
-17.4,0.0833333333333333,0,43.8199728150658,2,0,976,22,2
-17.1,0.0833333333333333,0,43.8199728150658,2,0,976,22,2
-16.8,0.0833333333333333,0,46.0054872257081,2,0,976,22,2
-16.5,0.0833333333333333,0,46.0054872257081,2,0,976,22,2
-16.2,0.0833333333333333,0,45.8530039941465,2,0,976,22,2
-15.9,0.0833333333333333,0,44.7513158603866,2,0,976,22,2
-15.6,0.0833333333333333,0,44.7513158603866,2,0,976,22,2
-15.3,0.0833333333333333,0,44.7513158603866,2,0,976,22,2
-15,0.0833333333333333,0,42.5599965126464,2,0,976,22,2
-14.7,1,0,0.0137814531309349,24,0,976,0,24
-14.4,1,0,0.0137814531309349,24,0,976,0,24
-14.1,1,0,0.0137814531309349,24,0,976,0,24
-13.8,1,0,0.0137814531309349,24,0,976,0,24
-13.5,1,0,0.0137814531297803,24,0,976,0,24
-13.2,1,0,0.0137814531297803,24,0,976,0,24
-12.9,1,0.00102459016393443,0.013836263768156,24,1,975,0,25
-12.6,1,0.00102459016393443,0.013836263768156,24,1,975,0,25
-12.3,1,0.00102459016393443,0.0138362637676196,24,1,975,0,25
