a_cov,a_micro,TPR,FPR,MSE,TP,FP,TN,FN,NumSelected
-15,-15,0.0384615384615385,0.00102354145342886,144.147827832355,1,1,976,25,2
-15,-10,0.0384615384615385,0.00102354145342886,144.147827832355,1,1,976,25,2
-15,-5,0.0769230769230769,0.00102354145342886,141.596126959138,2,1,976,24,3
-15,0,0.0769230769230769,0.00204708290685773,138.292199189335,2,2,975,24,4
-10,-15,0.923076923076923,0.082906857727738,93.5050575337019,24,81,896,2,105
-10,-10,0.923076923076923,0.082906857727738,93.5050575337019,24,81,896,2,105
-10,-5,0.961538461538462,0.082906857727738,91.5633497939746,25,81,896,1,106
-10,0,0.961538461538462,0.0839303991811668,90.3009740521346,25,82,895,1,107
-5,-15,0.961538461538462,0.506653019447288,73.7309420150903,25,495,482,1,520
-5,-10,0.961538461538462,0.506653019447288,73.7309420150903,25,495,482,1,520
-5,-5,1,0.506653019447288,72.2941793225883,26,495,482,0,521
-5,0,1,0.506653019447288,71.7461342399522,26,495,482,0,521
0,-15,0.961538461538462,0.893551688843398,61.505056814367,25,873,104,1,898
0,-10,0.961538461538462,0.893551688843398,61.505056814367,25,873,104,1,898
0,-5,1,0.894575230296827,60.242167111994,26,874,103,0,900
0,0,1,0.894575230296827,59.9117208464489,26,874,103,0,900
